,Well_ID,AL_Key,Artificial_Lift_Type,AL_Bottom_Depth,ESP_Pump_Stages,DLS_Critical,ESP_Motor_Frequency_Rating,ESP_Motor_Current_Rating,ESP_Motor_Voltage_Rating,ESP_Motor_Power_Rating,DLS_at_Set_Depth,Failure_Type,Failure_Type_Detail
0,345,ESP_2,ESP,9056.67,0,5.323173988,,,,,1.713553803,ELECTRICAL,MOTOR
1,29,ESP_3,ESP,8982.09,0,6.440650373,,,,,2.789395319,PUMP,MOTOR
2,327,ESP_1,ESP,8876.37,0,5.669750917,,,,,0.481679692,ELECTRICAL,UNKNOWN
3,71,ESP_1,ESP,8930.11,0,5.6147984,,,,,0.842037516,ELECTRICAL,UNKNOWN
4,125,ESP_2,ESP,8616.41,348,26.06174992,,,,,,ELECTRICAL,PENETRATOR
5,165,ESP_1,ESP,8894.94,267,16.32403467,,67.1,2626,270,,TUBING,UNKNOWN
6,165,ESP_2,ESP,8814.55,351,23.47261871,,67.1,2626,270,,ELECTRICAL,MOTOR
7,138,ESP_1,ESP,8708.7,267,16.9033827,,67.1,2626,270,,TUBING,BODY
8,138,ESP_2,ESP,8718.55,287,23.57104022,,67.1,2626,270,,PUMP,STAGE
9,260,ESP_1,ESP,8711.08,267,16.8695029,,67.1,2626,270,,TUBING,BODY
10,260,ESP_3,ESP,8703.25,488,20.9520373,,67.1,2626,270,,PUMP,COUPLING (BOX)
11,47,ESP_1,ESP,7913.47,356,7.168520373,,,,,,PUMP,SHAFT
12,85,ESP_1,ESP,7847.46,356,7.145482632,,,,,,ELECTRICAL,SHAFT
13,85,ESP_2,ESP,7583.02,317,36.11367356,,52,1508,442,,TUBING,PROFILE NIPPLE
14,246,ESP_1,ESP,7539.68,356,19.47434354,,75.5,1393,161,,ELECTRICAL,MOTOR
15,118,ESP_1,ESP,7278.35,267,5.495774551,,,,,0.377821509,ELECTRICAL,CABLE
16,126,ESP_1,ESP,7612.42,0,6.64406864,,,,,,PUMP,STAGE
17,0,ESP_1,ESP,7649.74,445,12.75995944,,,,,,ELECTRICAL,CABLE
18,49,ESP_1,ESP,7805.65,0,17.36877309,,,,,,ELECTRICAL,UNKNOWN
19,111,ESP_1,ESP,7751.26,0,17.38598801,,,,,,ELECTRICAL,COUPLING (BOX)
